keys,en
"Niña Mary","Little Mary"
"Juan Carlos","Juan Carlos"
"Juan","Juan"
"Player","Player"
"McDonalds","McDonalds"
"No deberías andar por aquí tan tarde, muchacho.","You shouldn't be wandering around here this late, kid."
"Esta estación lleva horas demasiado silenciosa... como si alguien la hubiera olvidado.","This station's been way too quiet for hours... like somebody forgot about it."
"Yo solo reviso las bombas. O eso intento.","I just check the pumps. Or try to, anyway."
"¿Sabe dónde está el baño?","Do you know where the bathroom is?"
"Ah... sí. Por atrás del edificio, a la derecha del súper.","Ah... yeah. Around back of the building, to the right of the store."
"Hay un letrero verde medio borrado. No te lo pierdas.","There's a half-faded green sign. Don't miss it."
"Si la puerta no cede, no insistas mucho.","If the door won't budge, don't push it too hard."
"...","..."
"Como quieras. Solo no te quedes mucho rato afuera.","Suit yourself. Just don't hang around outside too long."
"¿Otra vez tú?","You again?"
"Te lo repito: el baño está atrás, a la derecha del súper.","I'll say it again: the bathroom's out back, to the right of the store."
"A mi edad uno lo ve desde lejos. ¿Serás ciego?","At my age you can spot it from a mile away. Are you blind?"
"Perdón, gracias.","Sorry. Thanks."
"Vaya con cuidado. Esta noche el aire pesa distinto.","Be careful out there. The air feels different tonight."
"No me hagas perder el tiempo con miradas.","Don't waste my time with looks."
"Oye... ¿sabes dónde puedo conseguir la llave del baño?","Hey... you know where I can get the bathroom key?"
"¿La llave? Ah...","The key? Ah..."
"Mejor pregúntale a la señora del súper. Seguro ella la tiene.","Better ask the lady at the store. She's got to have it."
"Ya te dije que no tengo la llave.","I already told you I don't have the key."
"La tiene que tener la señora del súper. Ve antes de que cierre.","The lady at the store has to have it. Go before she closes."
"¿No ves que ya estoy mayor...?","Can't you see I'm getting old...?"
"Déjame revisar la bomba tranquilo, muchacho.","Let me check the pump in peace, kid."
"Bienvenido. ¿En qué te ayudo?","Welcome. How can I help you?"
"Necesito usar el baño urgente.","I need to use the bathroom — urgently."
"El baño es afuera, detrás del local. Pero está con llave.","The bathroom's outside, behind the building. But it's locked."
"Para poder usarlo tienes que consumir algo en la tienda. Es la política.","You have to buy something in the store first. That's the policy."
"Ok, compraré algo... pero déjame ir al baño primero, que no me aguanto.","Okay, I'll buy something... but let me use the bathroom first — I can't hold it."
"Mira, no te puedo dejar sin eso. Pero te voy a decir una cosa.","Look, I can't let you in without that. But I'll tell you something."
"La llave está en la bodega — la puerta del fondo del súper.","The key's in the storeroom — the door at the back of the store."
"Entra por ahí y búscala. Luego ya me compras lo que sea.","Go in there and look for it. Then you can buy whatever."
"No me siento nada bien, quizá necesito azúcar.","I don't feel good at all — maybe I need some sugar."
"Puede ir a tomar una coca, están en la refrigeradora al fondo del pasillo.","You can grab a Coke — they're in the fridge at the end of the aisle."
"¿Trae dinero para pagarme, verdad?","You've got money to pay me, right?"
"Señor, las cocas están al fondo. Yo no la puedo ir a traer por usted.","Sir, the Cokes are in the back. I can't go get one for you."
"La llave está en la bodega, al fondo del súper.","The key's in the storeroom, at the back of the store."
"¿Necesitas algo más?","Need anything else?"
"¿Dónde está el baño?","Where's the bathroom?"
"Afuera, a la derecha del edificio. Ya te lo dije.","Outside, to the right of the building. I already told you."
"Primero la llave, luego el baño.","Key first, then the bathroom."
"Solo estoy mirando.","Just looking."
