keys,es,en
UI_MAIN_START,Iniciar juego,Start game
UI_MAIN_OPTIONS,Opciones,Options
UI_MAIN_QUIT,Salir,Quit
UI_MAIN_NEW_GAME,Iniciar nueva partida,Start new game
UI_COMMON_BACK,Volver,Back
UI_PAUSE_CONTINUE,Continuar,Continue
UI_PAUSE_OPTIONS,Opciones,Options
UI_PAUSE_MAIN_MENU,Menú principal,Main menu
UI_OPT_TITLE,Configuración,Settings
UI_OPT_MASTER_VOL,Volumen general,Master volume
UI_OPT_MUSIC_VOL,Volumen de música,Music volume
UI_OPT_SFX_VOL,Volumen de efectos,SFX volume
UI_OPT_FULLSCREEN,Pantalla completa,Fullscreen
UI_OPT_MOUSE_SENS,Sensibilidad del ratón,Mouse sensitivity
UI_OPT_FOV,Campo de visión,Field of view
UI_OPT_GRAPHICS,Gráficos,Graphics
UI_GFX_HIGH,Alta,High
UI_GFX_MED,Medios,Medium
UI_GFX_LOW,Bajos,Low
UI_LANG_CONFIRM_TITLE,Cambiar idioma,Change language
UI_LANG_CONFIRM_BODY,¿Quieres cambiar el idioma del juego?,Do you want to change the game language?
UI_LANG_CONFIRM_YES,Sí,Yes
UI_LANG_CONFIRM_NO,No,No
UI_INSTR_TITLE,Instrucciones,Instructions
UI_INSTR_CLOSE,Clic o [E] para cerrar,Click or [E] to close
UI_INTRO_CONTINUE,Clic para seguir leyendo,Click to keep reading
UI_BLADDER_FMT,Vejiga: %d%%,Bladder: %d%%
UI_FIN_TITLE,FIN,THE END
UI_FIN_CONTINUE,click para continuar,click to continue
PROMPT_INTERACT,Presiona [E] para interactuar,Press [E] to interact
PROMPT_TALK,Presiona [E] para hablar,Press [E] to talk
PROMPT_DOOR_LOCKED,Presiona [E] para interactuar,Press [E] to interact
PROMPT_DOOR_USE_KEY,Presiona [E] para usar la llave,Press [E] to use the key
PROMPT_DOOR_OPEN,Presiona [E] para abrir,Press [E] to open
PROMPT_DOOR_CLOSE,Presiona [E] para cerrar,Press [E] to close
PROMPT_CHURRO_PICKUP,Presiona [E] para agarrar churro,Press [E] to grab a churro
PROMPT_CHURRO_PLACE,Presiona [E] para dejar el churro,Press [E] to put down the churro
PROMPT_COCA_PLACE,Presiona [E] para dejar la coca,Press [E] to put down the Coke
PROMPT_COCA_TAKE,Presiona [E] para tomar una coca,Press [E] to grab a Coke
PROMPT_SINK_WASH,Presiona [E] para lavarte las manos,Press [E] to wash your hands
PROMPT_TOILET_ENTER,Presiona [E] para usar el inodoro,Press [E] to use the toilet
PROMPT_TOILET_EXIT,Presiona [E] para salir,Press [E] to leave
PROMPT_FLASHLIGHT,[E] Recoger linterna,[E] Pick up flashlight
PROMPT_GENERIC_PICKUP,[E] Recoger objeto,[E] Pick up item
PROMPT_KEY_PICKUP,[E] Recoger llave,[E] Pick up key
PROMPT_CAMERA_PICKUP,[E] Recoger cámara,[E] Pick up camera
PROMPT_BOOK_PICKUP,[E] Recoger libro de instrucciones,[E] Pick up instructions booklet
PROMPT_BOOK_READ,[E] Leer instrucciones,[E] Read instructions
PROMPT_NEED_DROP,"Ya llevas un objeto en la mano. Pulsa [Q] para soltarlo antes de coger otro ([E]).","You're already holding something. Press [Q] to drop it before picking up another ([E])."
HINT_TOILET_AIM,Mantén click izquierdo · [E] para salir,Hold left click · [E] to leave
HINT_SPRAY_HOLD_MOUSE,Clic izquierdo (mantener),Left click (hold)
CREDITS_OPEN,Gracias por jugar,Thanks for playing
